HouseAge,MedInc
41,8.3252
21,8.3014
52,7.2574
52,5.6431
52,3.8462
52,4.0368
52,3.6591
52,3.12
42,2.0804
52,3.6912
52,3.2031
52,3.2705
52,3.075
52,2.6736
52,1.9167
50,2.125
52,2.775
52,2.1202
50,1.9911
52,2.6033
40,1.3578
42,1.7135
52,1.725
52,2.1806
52,2.6
41,2.4038
49,2.4597
52,1.808
50,1.6424
52,1.6875
49,1.9274
52,1.9615
48,1.7969
49,1.375
51,2.7303
49,1.4861
48,1.0972
52,1.4103
52,3.48
52,2.5898
52,2.0978
51,1.2852
49,1.025
52,3.9643
52,3.0125
52,2.6768
50,2.026
43,1.7348
40,0.9506
40,1.775
21,0.9218
43,1.5045
41,1.1108
52,1.2475
52,1.6098
52,1.4113
52,1.5057
52,0.8172
52,1.2171
2,2.5625
52,3.3929
49,6.1183
50,0.9011
52,1.191
48,2.5938
52,1.1667
48,0.8056
52,2.6094
52,1.8516
46,0.9802
26,1.7719
46,0.7286
49,1.75
46,0.4999
20,2.483
17,0.9241
36,2.4464
19,1.1111
23,0.8026
38,2.0114
17,1.5
52,1.1667
52,1.5208
52,0.8075
35,1.8088
52,2.4083
40,0.977
10,0.76
10,0.9722
52,1.2434
16,2.0938
52,0.8668
52,0.75
27,2.6354
39,1.8477
36,2.0096
31,2.8345
29,2.0062
22,1.2185
37,2.6104
29,2.4912
28,3.2177
39,3.125
52,2.5795
34,2.8406
52,4.9306
52,3.2727
52,3.1691
52,3.9
28,3.9063
52,5.0917
32,2.6429
26,3.0233
52,3.1484
35,3.4722
52,3.1429
28,2.4234
52,3.0897
50,5.8596
47,5.2868
41,5.956
37,4.9643
52,6.3434
52,5.1773
52,7.2354
28,5.457
50,7.5
44,6.0194
40,7.5544
30,6.0666
34,7.0548
18,11.6017
35,7.4882
34,6.8976
28,8.2049
26,8.401
29,6.8538
32,8.317
37,7.0175
39,6.3302
30,6.3624
52,7.0549
45,6.7851
50,2.8929
38,3.0812
52,5.2402
52,6.5217
52,3.2632
52,3.0298
52,4.5428
52,4.072
52,5.3509
52,3.1603
52,4.7708
52,8.1564
52,8.8793
52,6.8591
52,6.0302
52,7.508
52,2.7477
52,2.1944
52,3.0149
52,3.675
46,3.225
42,2.9345
43,2.1429
41,1.6121
29,1.3929
27,2.3173
45,1.7772
50,2.6458
52,2.181
36,2.2303
43,1.6504
52,2.2697
52,2.1563
52,2.1348
47,2.6292
52,2.3833
52,2.957
49,2.5238
52,1.9375
51,1.9028
50,2.25
52,2.3929
43,2.1917
52,2.9357
30,1.8854
39,2.1638
47,2.125
52,3.375
43,2.2542
51,2.1
39,1.6
52,3.625
20,1.6929
52,1.6471
52,2.59
52,2.57
52,2.6429
52,3.0257
50,1.4886
43,1.9338
52,1.4844
44,1.6009
48,2.0375
49,2.293
37,2.1494
30,1.6198
40,1.3281
44,3.5156
52,3.9048
52,3.0893
46,2.6042
49,2.5
38,2.7969
29,2.8321
47,2.9583
34,2.8365
35,2.875
39,3.0682
39,3.0757
43,4.9559
52,4.7721
52,3.4861
41,5.1184
48,4.0977
48,4.744
46,4.2727
50,2.9844
40,4.1739
46,3.8487
52,4.0114
45,4.6563
28,2.9297
35,2.3036
49,2.6667
44,2.619
45,2.4167
45,2.7788
46,2.7352
52,1.8472
52,2.6583
49,3.0536
44,2.3906
43,1.7188
47,2.625
40,2.8015
50,1.7276
44,2.0801
51,2.489
52,1.7546
52,4.0904
52,2.6765
49,2.4338
46,2.3309
43,2.2604
42,1.8039
39,2.2562
41,2.0562
52,3.5398
39,3.1167
50,2.5401
43,2.898
44,2.3125
52,2.875
52,3.3715
52,3.5114
52,4.3125
52,3.22
33,3.875
49,5.2328
52,3.7262
45,4.5893
39,5.2578
41,7.0875
46,3.9712
47,2.9514
50,2.6667
37,5.4446
34,6.2838
23,6.7527
24,7.0712
22,5.9849
42,3.6875
30,2.875
43,3.4205
50,3.2984
49,3.875
52,4.175
47,4.375
48,4.7708
45,3.5739
39,3.0958
39,3.3958
31,1.871
41,1.9356
47,2.1842
37,2.2917
38,2.4333
50,1.9479
52,3.9063
49,1.8407
27,2.0786
42,2.8125
43,1.8913
49,1.7056
52,2.2768
51,3.2552
52,2.0556
52,2.4659
47,1.75
41,2.0469
45,2.7159
41,1.2083
45,1.925
36,1.5809
37,1.4097
38,0.7683
19,1.3194
28,0.8012
26,1.9479
36,1.1765
42,2.3456
44,2.1538
43,2.5139
45,1.2625
42,2.9063
43,2.5192
44,2.1111
42,2.455
41,2.4028
47,2.15
43,2.4776
43,2.1587
35,1.8438
46,3.0298
46,2.25
46,2.2467
45,4.0469
46,1.325
38,1.6196
45,2.1731
36,1.9167
43,2.069
36,1.712
33,2.5625
43,1.9821
41,2.5043
44,2.3281
48,1.4375
45,2.5122
38,1.5625
47,3.1587
40,1.8426
46,4.6696
36,2.4598
39,6.0749
27,4.8304
34,5.5701
26,5.37
33,6.86
28,7.6923
36,4.0313
33,6.8323
30,4.975
36,5.3602
41,5.0
46,2.925
40,3.8913
44,3.225
41,3.1458
24,2.537
44,2.5568
43,3.5083
49,3.3125
40,1.8235
35,3.8047
34,2.2917
37,2.4962
43,4.0417
46,3.4844
52,4.1458
47,2.625
44,2.0227
49,3.3333
52,5.338
52,3.4732
38,3.5125
52,3.1375
46,2.8036
15,4.5824
36,3.0208
52,4.0875
42,4.5268
37,1.7375
52,3.1795
50,3.8672
52,5.1675
52,5.1696
52,4.2614
52,5.0551
42,5.6228
52,7.8864
52,7.9556
52,6.174
52,6.9414
52,8.8342
52,7.1754
52,10.0825
52,4.9083
52,5.7912
52,4.5893
52,5.4171
52,4.125
52,7.266
52,5.3989
37,7.8336
41,6.1593
52,6.381
52,6.6828
37,7.5385
42,6.7138
52,6.2425
52,5.7979
52,4.2813
52,3.5417
44,3.0132
52,4.1429
52,4.1912
52,3.9167
52,3.8897
48,3.1065
46,2.9926
52,3.556
45,1.475
52,1.6971
10,2.1705
50,2.75
52,2.5682
46,2.9
52,2.2208
52,3.2344
52,3.5156
49,1.9805
50,2.6684
52,3.875
52,3.006
46,2.543
46,2.8676
52,2.1907
30,1.7778
37,2.52
52,4.2788
52,2.944
52,1.725
41,5.2289
42,2.5562
52,0.949
52,1.1696
52,1.4012
52,1.1859
35,1.7464
49,2.8846
52,2.7372
52,3.8594
52,3.5625
52,2.2788
44,2.537
46,2.525
52,1.9946
52,2.8214
52,2.6165
50,1.9483
52,1.9327
49,1.9798
52,2.4167
49,2.5417
52,3.3906
52,2.5652
41,2.2845
52,2.6071
52,3.15
52,2.6914
52,1.8447
35,1.6307
52,2.9044
52,2.9405
52,3.3893
48,3.0417
52,7.0897
52,5.0463
52,1.7652
52,7.8521
52,9.3959
52,5.3794
52,3.2619
52,2.7054
47,2.2431
50,1.9028
52,1.5817
52,2.2841
47,1.3785
52,2.9018
44,1.73
48,2.2625
35,2.2106
52,2.6997
14,4.0018
52,7.8772
39,11.8603
42,13.499
52,12.2138
52,8.1872
52,12.3804
52,5.8948
52,8.1194
52,8.7477
52,6.155
52,5.883
52,5.2128
52,4.7188
52,5.2915
52,2.6411
52,3.3214
52,3.6417
52,3.0161
52,3.1771
52,3.4531
52,4.3098
52,3.3438
52,2.9213
52,2.6806
52,3.7708
45,3.9444
13,5.2601
30,2.5444
42,2.6447
29,2.5762
42,1.9427
52,2.9688
27,3.75
18,5.1702
50,2.5139
52,2.9732
52,5.5337
52,4.1667
52,2.7115
52,3.3269
52,3.2685
52,4.7778
52,4.226
52,3.3571
52,2.9899
52,2.875
43,2.3882
43,2.975
52,5.1039
52,4.1458
52,3.4762
52,2.6833
52,5.75
50,3.9632
45,4.9489
27,4.8711
52,3.0718
49,3.6719
52,4.6094
21,4.5213
25,4.4562
5,7.611
31,3.2689
52,3.567
28,3.6875
23,4.7695
20,3.1972
12,7.2634
5,7.0568
36,4.635
40,5.3015
36,4.9801
26,5.4834
31,6.187
32,5.6194
35,5.4639
35,5.1498
30,5.8382
36,4.65
25,4.3819
30,3.7222
31,5.2855
31,4.3375
27,5.2131
30,6.005
38,5.0519
38,4.8237
32,5.2497
39,4.125
37,4.6005
33,3.5187
32,3.0
25,3.4934
33,2.9861
29,2.5362
36,3.3021
31,3.0964
43,2.8512
42,3.3478
37,2.3958
15,3.5295
20,4.8036
52,3.851
52,4.0662
51,4.6042
49,2.2
52,4.1164
52,3.95
52,4.9135
45,2.8355
46,3.25
49,2.8301
52,3.7159
52,2.5625
45,3.8047
45,3.375
38,3.244
36,4.0268
35,3.3906
36,5.5461
42,3.371
46,3.5313
5,3.663
38,2.875
43,4.0202
37,4.5553
36,3.4643
10,3.3431
28,2.1898
31,2.9097
47,3.375
29,2.8125
52,5.0
38,3.0673
43,3.8125
33,6.9096
26,7.912
35,3.8393
35,4.0
25,6.5095
39,3.5156
45,2.983
45,3.524
44,3.1103
44,3.5781
18,3.1682
27,2.6101
18,3.6932
43,3.4583
19,3.9032
36,4.0208
36,3.5547
17,4.5859
21,2.6321
17,3.395
36,3.9702
36,5.0043
38,4.4659
38,3.6625
36,3.8864
36,3.4583
36,3.7813
36,2.9917
36,4.4375
24,4.0
16,2.3869
24,4.7609
5,5.4858
36,4.3971
36,4.0109
35,4.3864
30,4.2841
39,5.1312
37,2.9958
27,3.6364
31,2.7955
44,2.9507
30,3.4375
34,2.875
38,3.0345
41,2.679
17,2.9922
35,4.1042
19,2.5833
23,2.1552
29,2.3274
